"","description"
"3.1.4.52","Cyclic-guanylate-specific phosphodiesterase"
"3.1.4.53","3',5'-cyclic-AMP phosphodiesterase"
"3.1.4.54","N-acetylphosphatidylethanolamine-hydrolyzing phospholipase D"
"3.1.4.55","Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase"
"3.1.4.56","7,8-dihydroneopterin 2',3'-cyclic phosphate phosphodiesterase"
"3.1.4.57","Phosphoribosyl 1,2-cyclic phosphate 1,2-diphosphodiesterase"
"3.1.4.58","RNA 2',3'-cyclic 3'-phosphodiesterase"
"3.1.5.1","dGTPase"
"3.1.6.1","Arylsulfatase (type I)"
"3.1.6.12","N-acetylgalactosamine-4-sulfatase"
"3.1.6.13","Iduronate-2-sulfatase"
"3.1.6.14","N-acetylglucosamine-6-sulfatase"
"3.1.6.4","N-acetylgalactosamine-6-sulfatase"
"3.1.6.6","Choline-sulfatase"
"3.1.6.8","Cerebroside-sulfatase"
"3.1.7.12","(+)-kolavelool synthase"
"3.1.7.2","Guanosine-3',5'-bis(diphosphate) 3'-diphosphatase"
"3.1.7.8","Tuberculosinol synthase"
"3.1.7.9","Isotuberculosinol synthase"
"3.1.8.1","Aryldialkylphosphatase"
"3.10.1.1","N-sulfoglucosamine sulfohydrolase"
"3.11.1.1","Phosphonoacetaldehyde hydrolase"
"3.11.1.2","Phosphonoacetate hydrolase"
"3.13.1.1","UDP-sulfoquinovose synthase"
"3.13.1.3","2'-hydroxybiphenyl-2-sulfinate desulfinase"
"3.13.1.4","3-sulfinopropanoyl-CoA desulfinase"
"3.13.1.6","[CysO sulfur-carrier protein]-S-L-cysteine hydrolase"
"3.2.1.1","Alpha-amylase"
"3.2.1.10","Oligo-1,6-glucosidase"
"3.2.1.11","Dextranase"
"3.2.1.113","Mannosyl-oligosaccharide 1,2-alpha-mannosidase"
"3.2.1.122","Maltose-6'-phosphate glucosidase"
"3.2.1.123","Endoglycosylceramidase"
"3.2.1.130","Glycoprotein endo-alpha-1,2-mannosidase"
"3.2.1.132","Chitosanase"
"3.2.1.133","Glucan 1,4-alpha-maltohydrolase"
"3.2.1.135","Neopullulanase"
"3.2.1.136","Glucuronoarabinoxylan endo-1,4-beta-xylanase"
"3.2.1.139","Alpha-glucuronidase"
"3.2.1.14","Chitinase"
"3.2.1.141","4-alpha-D-((1->4)-alpha-D-glucano)trehalose trehalohydrolase"
"3.2.1.15","Endo-polygalacturonase"
"3.2.1.156","Oligosaccharide reducing-end xylanase"
"3.2.1.157","Iota-carrageenase"
"3.2.1.164","Galactan endo-1,6-beta-galactosidase"
"3.2.1.165","Exo-1,4-beta-D-glucosaminidase"
"3.2.1.169","Protein O-GlcNAcase"
"3.2.1.17","Lysozyme"
"3.2.1.170","Mannosylglycerate hydrolase"
"3.2.1.172","Unsaturated rhamnogalacturonyl hydrolase"
"3.2.1.176","Cellulose 1,4-beta-cellobiosidase (reducing end)"
"3.2.1.177","Alpha-D-xyloside xylohydrolase"
"3.2.1.178","Beta-porphyranase"
"3.2.1.18","Exo-alpha-sialidase"
"3.2.1.180","Unsaturated chondroitin disaccharide hydrolase"
"3.2.1.181","Galactan endo-beta-1,3-galactanase"
"3.2.1.183","UDP-N-acetylglucosamine 2-epimerase (hydrolyzing)"
"3.2.1.184","UDP-N,N'-diacetylbacillosamine 2-epimerase (hydrolyzing)"
"3.2.1.185","Non-reducing end beta-L-arabinofuranosidase"
"3.2.1.187","(Ara-f)(3)-Hyp beta-L-arabinobiosidase"
"3.2.1.196","Limit dextrin alpha-1,6-maltotetraose-hydrolase"
"3.2.1.197","Beta-1,2-mannosidase"
"3.2.1.198","Alpha-mannan endo-1,2-alpha-mannanase"
"3.2.1.199","Sulfoquinovosidase"
"3.2.1.20","Alpha-glucosidase"
"3.2.1.202","Endo-chitodextinase"
"3.2.1.204","1,3-alpha-isomaltosidase"
"3.2.1.205","Isomaltose glucohydrolase"
"3.2.1.21","Beta-glucosidase"
"3.2.1.22","Alpha-galactosidase"
"3.2.1.23","Beta-galactosidase"
"3.2.1.24","Alpha-mannosidase"
"3.2.1.25","Beta-mannosidase"
"3.2.1.26","Beta-fructofuranosidase"
"3.2.1.28","Alpha,alpha-trehalase"
"3.2.1.3","Glucan 1,4-alpha-glucosidase"
"3.2.1.31","Beta-glucuronidase"
"3.2.1.35","Hyaluronoglucosaminidase"
"3.2.1.37","Xylan 1,4-beta-xylosidase"
"3.2.1.4","Cellulase"
"3.2.1.40","Alpha-L-rhamnosidase"
"3.2.1.41","Pullulanase"
"3.2.1.45","Glucosylceramidase"
"3.2.1.46","Galactosylceramidase"
"3.2.1.50","Alpha-N-acetylglucosaminidase"
"3.2.1.51","Alpha-L-fucosidase"
"3.2.1.52","Beta-N-acetylhexosaminidase"
"3.2.1.54","Cyclomaltodextrinase"
"3.2.1.55","Non-reducing end alpha-L-arabinofuranosidase"
"3.2.1.58","Glucan 1,3-beta-glucosidase"
"3.2.1.60","Glucan 1,4-alpha-maltotetraohydrolase"
"3.2.1.64","2,6-beta-fructan 6-levanbiohydrolase"
"3.2.1.65","Levanase"
"3.2.1.67","Galacturonan 1,4-alpha-galacturonidase"
"3.2.1.68","Isoamylase"
"3.2.1.70","Glucan 1,6-alpha-glucosidase"
"3.2.1.73","Licheninase"
"3.2.1.78","Mannan endo-1,4-beta-mannosidase"
"3.2.1.8","Endo-1,4-beta-xylanase"
"3.2.1.80","Fructan beta-fructosidase"
"3.2.1.81","Beta-agarase"
"3.2.1.82","Exo-poly-alpha-digalacturonosidase"
"3.2.1.83","Kappa-carrageenase"
"3.2.1.85","6-phospho-beta-galactosidase"
"3.2.1.86","6-phospho-beta-glucosidase"
"3.2.1.89","Arabinogalactan endo-beta-1,4-galactanase"
"3.2.1.91","Cellulose 1,4-beta-cellobiosidase (non-reducing end)"
"3.2.1.93","Alpha,alpha-phosphotrehalase"
"3.2.1.94","Glucan 1,6-alpha-isomaltosidase"
"3.2.1.96","Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase"
"3.2.1.97","Endo-alpha-N-acetylgalactosaminidase"
"3.2.1.99","Arabinan endo-1,5-alpha-L-arabinosidase"
"3.2.2.1","Purine nucleosidase"
"3.2.2.10","Pyrimidine-5'-nucleotide nucleosidase"
"3.2.2.16","Methylthioadenosine nucleosidase"
"3.2.2.20","DNA-3-methyladenine glycosylase I"
"3.2.2.21","DNA-3-methyladenine glycosylase II"
"3.2.2.23","DNA-formamidopyrimidine glycosylase"
"3.2.2.24","ADP-ribosyl-[dinitrogen reductase] hydrolase"
"3.2.2.26","Futalosine hydrolase"
"3.2.2.27","Uracil-DNA glycosylase"
"3.2.2.28","Double-stranded uracil-DNA glycosylase"
"3.2.2.30","Aminodeoxyfutalosine nucleosidase"
"3.2.2.4","AMP nucleosidase"
"3.2.2.8","Ribosylpyrimidine nucleosidase"
"3.2.2.9","Adenosylhomocysteine nucleosidase"
"3.3.1.1","Adenosylhomocysteinase"
"3.3.2.1","Isochorismatase"
"3.3.2.12","Oxepin-CoA hydrolase"
"3.3.2.13","Chorismatase"
"3.3.2.15","Trans-2,3-dihydro-3-hydroxyanthranilic acid synthase"
"3.3.2.8","Limonene-1,2-epoxide hydrolase"
"3.3.2.9","Microsomal epoxide hydrolase"
"3.4.11.1","Leucyl aminopeptidase"
"3.4.11.10","Bacterial leucyl aminopeptidase"
"3.4.11.14","Cytosol alanyl aminopeptidase"
"3.4.11.15","Aminopeptidase Y"
"3.4.11.18","Methionyl aminopeptidase"
"3.4.11.19","D-stereospecific aminopeptidase"
"3.4.11.2","Membrane alanyl aminopeptidase"
"3.4.11.21","Aspartyl aminopeptidase"
"3.4.11.23","PepB aminopeptidase"
"3.4.11.24","Aminopeptidase S"
"3.4.11.4","Tripeptide aminopeptidase"
"3.4.11.5","Prolyl aminopeptidase"
"3.4.11.6","Aminopeptidase B"
"3.4.11.7","Glutamyl aminopeptidase"
"3.4.11.9","Xaa-Pro aminopeptidase"
"3.4.13.19","Membrane dipeptidase"
"3.4.13.21","Dipeptidase E"
"3.4.13.22","D-Ala-D-Ala dipeptidase"
"3.4.13.9","Xaa-Pro dipeptidase"
"3.4.14.10","Tripeptidyl-peptidase II"
"3.4.14.11","Xaa-Pro dipeptidyl-peptidase"
"3.4.14.12","Xaa-Xaa-Pro tripeptidyl-peptidase"
"3.4.14.13","Gamma-D-glutamyl-L-lysine dipeptidyl-peptidase"
"3.4.14.4","Dipeptidyl-peptidase III"
"3.4.14.5","Dipeptidyl-peptidase IV"
"3.4.15.1","Peptidyl-dipeptidase A"
"3.4.15.5","Peptidyl-dipeptidase Dcp"
"3.4.15.6","Cyanophycinase"
"3.4.16.4","Serine-type D-Ala-D-Ala carboxypeptidase"
"3.4.17.1","Carboxypeptidase A"
"3.4.17.11","Glutamate carboxypeptidase"
"3.4.17.13","Muramoyltetrapeptide carboxypeptidase"
"3.4.17.14","Zinc D-Ala-D-Ala carboxypeptidase"
"3.4.17.15","Carboxypeptidase A2"
"3.4.17.18","Carboxypeptidase T"
"3.4.17.19","Carboxypeptidase Taq"
"3.4.17.2","Carboxypeptidase B"
"3.4.17.20","Carboxypeptidase U"
"3.4.17.21","Glutamate carboxypeptidase II"
"3.4.17.22","Metallocarboxypeptidase D"
"3.4.17.3","Lysine carboxypeptidase"
"3.4.19.1","Acylaminoacyl-peptidase"
"3.4.19.11","Gamma-D-glutamyl-meso-diaminopimelate peptidase"
"3.4.19.12","Ubiquitinyl hydrolase 1"
"3.4.19.13","Glutathione gamma-glutamate hydrolase"
"3.4.19.15","Desampylase"
"3.4.19.3","Pyroglutamyl-peptidase I"
"3.4.19.5","Beta-aspartyl-peptidase"
"3.4.19.9","Folate gamma-glutamyl hydrolase"
"3.4.21.10","Acrosin"
"3.4.21.100","Sedolisin"
"3.4.21.101","Xanthomonalisin"
"3.4.21.102","C-terminal processing peptidase"
"3.4.21.105","Rhomboid protease"
"3.4.21.107","Peptidase Do"
"3.4.21.110","C5a peptidase"
"3.4.21.111","Aqualysin 1"
"3.4.21.116","SpoIVB peptidase"
"3.4.21.121","Lys-Lys/Arg-Xaa endopeptidase"
"3.4.21.19","Glutamyl endopeptidase"
"3.4.21.26","Prolyl oligopeptidase"
"3.4.21.34","Plasma kallikrein"
"3.4.21.35","Tissue kallikrein"
"3.4.21.4","Trypsin"
"3.4.21.50","Lysyl endopeptidase"
"3.4.21.53","Endopeptidase La"
"3.4.21.61","Kexin"
"3.4.21.62","Subtilisin"
"3.4.21.66","Thermitase"
"3.4.21.68","T-plasminogen activator"
"3.4.21.7","Plasmin"
"3.4.21.71","Pancreatic elastase II"
"3.4.21.72","IgA-specific serine endopeptidase"
"3.4.21.80","Streptogrisin A"
"3.4.21.81","Streptogrisin B"
"3.4.21.82","Glutamyl endopeptidase II"
"3.4.21.83","Oligopeptidase B"
"3.4.21.88","Repressor LexA"
"3.4.21.89","Signal peptidase I"
"3.4.21.92","Endopeptidase Clp"
"3.4.21.96","Lactocepin"
"3.4.22.10","Streptopain"
"3.4.22.15","Cathepsin L"
"3.4.22.34","Legumain"
"3.4.22.37","Gingipain R"
"3.4.22.38","Cathepsin K"
"3.4.22.40","Bleomycin hydrolase"
"3.4.22.47","Gingipain K"
"3.4.22.68","Ulp1 peptidase"
"3.4.22.70","Sortase A"
"3.4.22.8","Clostripain"
"3.4.23.1","Pepsin A"
"3.4.23.36","Signal peptidase II"
"3.4.23.4","Chymosin"
"3.4.23.43","Prepilin peptidase"
"3.4.23.48","Plasminogen activator Pla"
"3.4.23.49","Omptin"
"3.4.23.5","Cathepsin D"
"3.4.23.51","HycI peptidase"
"3.4.23.52","Preflagellin peptidase"
"3.4.24.11","Neprilysin"
"3.4.24.13","IgA-specific metalloendopeptidase"
"3.4.24.15","Thimet oligopeptidase"
"3.4.24.16","Neurolysin"
"3.4.24.17","Stromelysin 1"
"3.4.24.20","Peptidyl-Lys metalloendopeptidase"
"3.4.24.21","Astacin"
"3.4.24.22","Stromelysin 2"
"3.4.24.25","Vibriolysin"
"3.4.24.26","Pseudolysin"
"3.4.24.27","Thermolysin"
"3.4.24.28","Bacillolysin"
"3.4.24.29","Aureolysin"
"3.4.24.3","Microbial collagenase"
"3.4.24.30","Coccolysin"
"3.4.24.34","Neutrophil collagenase"
"3.4.24.36","Leishmanolysin"
"3.4.24.40","Serralysin"
"3.4.24.55","Pitrilysin"
"3.4.24.56","Insulysin"
"3.4.24.64","Mitochondrial processing peptidase"
"3.4.24.7","Interstitial collagenase"
"3.4.24.70","Oligopeptidase A"
"3.4.24.71","Endothelin-converting enzyme 1"
"3.4.24.75","Lysostaphin"
"3.4.24.76","Flavastacin"
"3.4.24.77","Snapalysin"
"3.4.24.78","GPR endopeptidase"
"3.4.24.79","Pappalysin-1"
"3.4.24.80","Membrane-type matrix metalloproteinase-1"
"3.4.24.84","Ste24 endopeptidase"
"3.4.24.89","Pro-Pro endopeptidase"
"3.4.25.1","Proteasome endopeptidase complex"
"3.4.25.2","HslU--HslV peptidase"
"3.5.1.1","Asparaginase"
"3.5.1.10","Formyltetrahydrofolate deformylase"
"3.5.1.100","(R)-amidase"
"3.5.1.101","L-proline amide hydrolase"
"3.5.1.102","deformylase"
"3.5.1.103","deacetylase"
"3.5.1.104","Peptidoglycan-N-acetylglucosamine deacetylase"
"3.5.1.105","Chitin disaccharide deacetylase"
"3.5.1.106","N-formylmaleamate deformylase"
"3.5.1.107","Maleamate amidohydrolase"
"3.5.1.108","UDP-3-O-acyl-N-acetylglucosamine deacetylase"
"3.5.1.11","Penicillin amidase"
"3.5.1.110","Peroxyureidoacrylate/ureidoacrylate amidohydrolase"
"3.5.1.115","Mycothiol S-conjugate amidase"
"3.5.1.116","Ureidoglycolate amidohydrolase"
"3.5.1.118","Gamma-glutamyl hercynylcysteine S-oxide hydrolase"
"3.5.1.119","Pup amidohydrolase"
"3.5.1.122","Protein N-terminal glutamine amidohydrolase"
"3.5.1.124","Protein deglycase"
"3.5.1.125","N(2)-acetyl-L-2,4-diaminobutanoate deacetylase"
"3.5.1.127","Jasmonoyl-L-amino acid hydrolase"
"3.5.1.14","N-acyl-aliphatic-L-amino acid amidohydrolase"
"3.5.1.15","Aspartoacylase"
"3.5.1.16","Acetylornithine deacetylase"
"3.5.1.18","Succinyl-diaminopimelate desuccinylase"
"3.5.1.19","Nicotinamidase"
"3.5.1.2","Glutaminase"
"3.5.1.23","Ceramidase"
"3.5.1.24","Choloylglycine hydrolase"
"3.5.1.25","N-acetylglucosamine-6-phosphate deacetylase"
"3.5.1.26","N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase"
"3.5.1.28","N-acetylmuramoyl-L-alanine amidase"
"3.5.1.29","2-(acetamidomethylene)succinate hydrolase"
"3.5.1.3","Omega-amidase"
"3.5.1.31","Formylmethionine deformylase"
"3.5.1.32","Hippurate hydrolase"
"3.5.1.38","Glutamin-(asparagin-)ase"
"3.5.1.4","Amidase"
"3.5.1.41","Chitin deacetylase"
"3.5.1.42","Nicotinamide-nucleotide amidase"
"3.5.1.44","Protein-glutamine glutaminase"
"3.5.1.47","N-acetyldiaminopimelate deacetylase"
"3.5.1.49","Formamidase"
"3.5.1.5","Urease"
"3.5.1.52","Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase"
"3.5.1.53","N-carbamoylputrescine amidase"
"3.5.1.54","Allophanate hydrolase"
"3.5.1.56","N,N-dimethylformamidase"
"3.5.1.59","N-carbamoylsarcosine amidase"
"3.5.1.6","Beta-ureidopropionase"
"3.5.1.68","N-formylglutamate deformylase"
"3.5.1.77","N-carbamoyl-D-amino-acid hydrolase"
"3.5.1.78","Glutathionylspermidine amidase"
"3.5.1.81","N-acyl-D-amino-acid deacylase"
"3.5.1.82","N-acyl-D-glutamate deacylase"
"3.5.1.84","Biuret amidohydrolase"
"3.5.1.86","Mandelamide amidase"
"3.5.1.87","N-carbamoyl-L-amino-acid hydrolase"
"3.5.1.88","Peptide deformylase"
"3.5.1.9","Arylformamidase"
"3.5.1.90","Adenosylcobinamide hydrolase"
"3.5.1.94","Gamma-glutamyl-gamma-aminobutyrate hydrolase"
"3.5.1.95","N-malonylurea hydrolase"
"3.5.1.96","Succinylglutamate desuccinylase"
"3.5.1.97","Acyl-homoserine-lactone acylase"
"3.5.1.98","Histone deacetylase"
"3.5.1.99","Fatty acid amide hydrolase"
"3.5.2.1","Barbiturase"
"3.5.2.10","Creatininase"
"3.5.2.14","N-methylhydantoinase (ATP-hydrolyzing)"
"3.5.2.15","Cyanuric acid amidohydrolase"
"3.5.2.17","Hydroxyisourate hydrolase"
"3.5.2.18","Enamidase"
"3.5.2.19","Streptothricin hydrolase"
"3.5.2.2","Dihydropyrimidinase"
"3.5.2.3","Dihydroorotase"
"3.5.2.5","Allantoinase"
"3.5.2.6","Beta-lactamase"
"3.5.2.7","Imidazolonepropionase"
"3.5.2.9","5-oxoprolinase (ATP-hydrolyzing)"
"3.5.3.1","Arginase"
"3.5.3.11","Agmatinase"
"3.5.3.12","Agmatine deiminase"
"3.5.3.13","Formimidoylglutamate deiminase"
"3.5.3.15","Protein-arginine deiminase"
"3.5.3.17","Guanidinopropionase"
"3.5.3.18","Dimethylargininase"
"3.5.3.22","Proclavaminate amidinohydrolase"
"3.5.3.23","N-succinylarginine dihydrolase"
"3.5.3.26","(S)-ureidoglycine aminohydrolase"
"3.5.3.3","Creatinase"
"3.5.3.4","Allantoicase"
"3.5.3.6","Arginine deiminase"
"3.5.3.7","Guanidinobutyrase"
"3.5.3.8","Formimidoylglutamase"
"3.5.3.9","Allantoate deiminase"
"3.5.4.1","Cytosine deaminase"
"3.5.4.10","IMP cyclohydrolase"
"3.5.4.12","dCMP deaminase"
"3.5.4.13","dCTP deaminase"
"3.5.4.16","GTP cyclohydrolase I"
"3.5.4.19","Phosphoribosyl-AMP cyclohydrolase"
"3.5.4.2","Adenine deaminase"
"3.5.4.22","1-pyrroline-4-hydroxy-2-carboxylate deaminase"
"3.5.4.25","GTP cyclohydrolase II"
"3.5.4.26","Diaminohydroxyphosphoribosylaminopyrimidine deaminase"
"3.5.4.27","Methenyltetrahydromethanopterin cyclohydrolase"
"3.5.4.28","S-adenosylhomocysteine deaminase"
"3.5.4.29","GTP cyclohydrolase IIa"
"3.5.4.3","Guanine deaminase"
"3.5.4.30","dCTP deaminase (dUMP-forming)"
"3.5.4.31","S-methyl-5'-thioadenosine deaminase"
"3.5.4.32","8-oxoguanine deaminase"
"3.5.4.33","tRNA(adenine(34)) deaminase"
"3.5.4.37","Double-stranded RNA adenine deaminase"
"3.5.4.39","GTP cyclohydrolase IV"
"3.5.4.4","Adenosine deaminase"
"3.5.4.40","Aminodeoxyfutalosine deaminase"
"3.5.4.43","Hydroxydechloroatrazine ethylaminohydrolase"
"3.5.4.44","Ectoine hydrolase"
"3.5.4.5","Cytidine deaminase"
"3.5.4.9","Methenyltetrahydrofolate cyclohydrolase"
"3.5.5.1","Nitrilase"
"3.5.5.6","Bromoxynil nitrilase"
"3.5.5.7","Aliphatic nitrilase"
"3.5.5.8","Thiocyanate hydrolase"
"3.5.99.10","2-iminobutanoate/2-iminopropanoate deaminase"
"3.5.99.2","Aminopyrimidine aminohydrolase"
"3.5.99.5","2-aminomuconate deaminase"
"3.5.99.6","Glucosamine-6-phosphate deaminase"
"3.5.99.7","1-aminocyclopropane-1-carboxylate deaminase"
"3.6.1.1","Inorganic diphosphatase"
"3.6.1.11","Exopolyphosphatase"
"3.6.1.13","ADP-ribose diphosphatase"
"3.6.1.15","Nucleoside-triphosphate phosphatase"
"3.6.1.17","Bis(5'-nucleosyl)-tetraphosphatase (asymmetrical)"
"3.6.1.22","NAD(+) diphosphatase"
"3.6.1.23","dUTP diphosphatase"
"3.6.1.25","Triphosphatase"
"3.6.1.26","CDP-diacylglycerol diphosphatase"
"3.6.1.27","Undecaprenyl-diphosphate phosphatase"
"3.6.1.3","Adenosinetriphosphatase"
"3.6.1.31","Phosphoribosyl-ATP diphosphatase"
"3.6.1.40","Guanosine-5'-triphosphate,3'-diphosphate diphosphatase"
"3.6.1.41","Bis(5'-nucleosyl)-tetraphosphatase (symmetrical)"
"3.6.1.45","UDP-sugar diphosphatase"
"3.6.1.5","Apyrase"
"3.6.1.54","UDP-2,3-diacylglucosamine diphosphatase"
"3.6.1.55","8-oxo-dGTP diphosphatase"
"3.6.1.56","2-hydroxy-dATP diphosphatase"
"3.6.1.57","UDP-2,4-diacetamido-2,4,6-trideoxy-beta-L-altropyranose hydrolase"
"3.6.1.58","8-oxo-dGDP phosphatase"
"3.6.1.61","Diadenosine hexaphosphate hydrolase (ATP-forming)"
"3.6.1.62","5'-(N(7)-methylguanosine 5'-triphospho)-[mRNA] hydrolase"
"3.6.1.63","Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase"
"3.6.1.64","Inosine diphosphate phosphatase"
"3.6.1.65","(d)CTP diphosphatase"
"3.6.1.66","XTP/dITP diphosphatase"
"3.6.1.67","Dihydroneopterin triphosphate diphosphatase"
"3.6.1.7","Acylphosphatase"
"3.6.1.9","Nucleotide diphosphatase"
"3.6.3.10","Transferred entry 7.2.2.19"
"3.6.3.12","Transferred entry 7.2.2.6"
"3.6.3.14","Transferred entry 7.1.2.2"
"3.6.3.15","Transferred entry 7.2.2.1"
"3.6.3.16","Transferred entry 7.3.2.7"
"3.6.3.17","Transferred entry 7.5.2.8"
"3.6.3.2","Transferred entry 7.2.2.14"
"3.6.3.20","Transferred entry 7.6.2.10"
"3.6.3.21","Transferred entry 7.4.2.1"
"3.6.3.22","Transferred entry 7.4.2.2"
"3.6.3.24","Transferred entry 7.2.2.11"
"3.6.3.25","Transferred entry 7.3.2.3"
"3.6.3.27","Transferred entry 7.3.2.1"
"3.6.3.28","Transferred entry 7.3.2.2"
"3.6.3.29","Transferred entry 7.3.2.5"
"3.6.3.3","Transferred entry 7.2.2.21"
"3.6.3.30","Transferred entry 7.2.2.7"
"3.6.3.31","Transferred entry 7.6.2.11"
"3.6.3.32","Transferred entry 7.6.2.9"
"3.6.3.33","Transferred entry 7.6.2.8"
"3.6.3.34","Transferred entry 7.2.2.16"
"3.6.3.35","Transferred entry 7.2.2.5"
"3.6.3.36","Transferred entry 7.6.2.7"
"3.6.3.38","Transferred entry 7.6.2.12"
"3.6.3.4","Transferred entry 7.2.2.9"
"3.6.3.40","Transferred entry 7.5.2.4"
"3.6.3.41","Transferred entry 7.6.2.5"
"3.6.3.44","Transferred entry 7.6.2.2"
"3.6.3.5","Transferred entry 7.2.2.12"
"3.6.3.54","Transferred entry 7.2.2.8"
"3.6.3.55","Transferred entry 7.3.2.6"
"3.6.3.6","Transferred entry 7.1.2.1"
"3.6.3.7","Transferred entry 7.2.2.3"
"3.6.3.8","Transferred entry 7.2.2.10"
"3.6.3.9","Transferred entry 7.2.2.13"
"3.6.4.12","DNA helicase"
"3.6.4.13","RNA helicase"
"3.6.4.6","Vesicle-fusing ATPase"
"3.6.4.7","Peroxisome-assembly ATPase"
"3.6.5.4","Signal-recognition-particle GTPase"
"3.7.1.12","Cobalt-precorrin 5A hydrolase"
"3.7.1.13","2-hydroxy-6-oxo-6-(2-aminophenyl)hexa-2,4-dienoate hydrolase"
"3.7.1.14","2-hydroxy-6-oxonona-2,4-dienedioate hydrolase"
"3.7.1.17","hydrolase"
"3.7.1.18","6-oxocamphor hydrolase"
"3.7.1.19","2,6-dihydroxypseudooxynicotine hydrolase"
"3.7.1.2","Fumarylacetoacetase"
"3.7.1.20","3-fumarylpyruvate hydrolase"
"3.7.1.21","6-oxocyclohex-1-ene-1-carbonyl-CoA hydratase"
"3.7.1.22","3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing)"
"3.7.1.3","Kynureninase"
"3.7.1.5","Acylpyruvate hydrolase"
"3.7.1.9","2-hydroxymuconate-6-semialdehyde hydrolase"
"3.8.1.2","(S)-2-haloacid dehalogenase"
"3.8.1.3","Haloacetate dehalogenase"
"3.8.1.5","Haloalkane dehalogenase"
"3.9.1.2","Protein arginine phosphatase"
"4.1.1.1","Pyruvate decarboxylase"
"4.1.1.100","Prephenate decarboxylase"
"4.1.1.101","Malolactic enzyme"
"4.1.1.103","Gamma-resorcylate decarboxylase"
"4.1.1.104","3-dehydro-4-phosphotetronate decarboxylase"
"4.1.1.105","L-tryptophan decarboxylase"
"4.1.1.11","Aspartate 1-decarboxylase"
"4.1.1.12","Aspartate 4-decarboxylase"
"4.1.1.15","Glutamate decarboxylase"
"4.1.1.17","Ornithine decarboxylase"
"4.1.1.18","Lysine decarboxylase"
"4.1.1.19","Arginine decarboxylase"
"4.1.1.2","Oxalate decarboxylase"
"4.1.1.20","Diaminopimelate decarboxylase"
"4.1.1.21","Phosphoribosylaminoimidazole carboxylase"
"4.1.1.22","Histidine decarboxylase"
"4.1.1.23","Orotidine-5'-phosphate decarboxylase"
"4.1.1.25","Tyrosine decarboxylase"
"4.1.1.28","Aromatic-L-amino-acid decarboxylase"
"4.1.1.29","Sulfinoalanine decarboxylase"
"4.1.1.3","Transferred entry 4.1.1.112"
"4.1.1.31","Phosphoenolpyruvate carboxylase"
"4.1.1.32","Phosphoenolpyruvate carboxykinase (GTP)"
"4.1.1.33","Diphosphomevalonate decarboxylase"
"4.1.1.35","UDP-glucuronate decarboxylase"
"4.1.1.36","Phosphopantothenoylcysteine decarboxylase"
"4.1.1.37","Uroporphyrinogen decarboxylase"
"4.1.1.38","Phosphoenolpyruvate carboxykinase (diphosphate)"
"4.1.1.39","Ribulose-bisphosphate carboxylase"
"4.1.1.4","Acetoacetate decarboxylase"
"4.1.1.41","Transferred entry 7.2.4.3"
"4.1.1.44","4-carboxymuconolactone decarboxylase"
"4.1.1.45","Aminocarboxymuconate-semialdehyde decarboxylase"
"4.1.1.46","o-pyrocatechuate decarboxylase"
"4.1.1.47","Tartronate-semialdehyde synthase"
"4.1.1.48","Indole-3-glycerol-phosphate synthase"
"4.1.1.49","Phosphoenolpyruvate carboxykinase (ATP)"
"4.1.1.5","Acetolactate decarboxylase"
"4.1.1.50","Adenosylmethionine decarboxylase"
"4.1.1.51","3-hydroxy-2-methylpyridine-4,5-dicarboxylate 4-decarboxylase"
"4.1.1.52","6-methylsalicylate decarboxylase"
"4.1.1.55","4,5-dihydroxyphthalate decarboxylase"
"4.1.1.61","4-hydroxybenzoate decarboxylase"
"4.1.1.64","2,2-dialkylglycine decarboxylase (pyruvate)"
"4.1.1.65","Phosphatidylserine decarboxylase"
"4.1.1.68","5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase"
"4.1.1.69","3,4-dihydroxyphthalate decarboxylase"
"4.1.1.7","Benzoylformate decarboxylase"
"4.1.1.70","Transferred entry 7.2.4.5"
"4.1.1.71","2-oxoglutarate decarboxylase"
"4.1.1.73","Tartrate decarboxylase"
"4.1.1.74","Indolepyruvate decarboxylase"
"4.1.1.75","5-guanidino-2-oxopentanoate decarboxylase"
"4.1.1.76","Arylmalonate decarboxylase"
"4.1.1.77","2-oxo-3-hexenedioate decarboxylase"
"4.1.1.79","Sulfopyruvate decarboxylase"
"4.1.1.8","Oxalyl-CoA decarboxylase"
"4.1.1.81","Threonine-phosphate decarboxylase"
"4.1.1.82","Phosphonopyruvate decarboxylase"
"4.1.1.83","4-hydroxyphenylacetate decarboxylase"
"4.1.1.85","3-dehydro-L-gulonate-6-phosphate decarboxylase"
"4.1.1.86","Diaminobutyrate decarboxylase"
"4.1.1.87","Malonyl-S-ACP decarboxylase"
"4.1.1.9","Malonyl-CoA decarboxylase"
"4.1.1.94","Ethylmalonyl-CoA decarboxylase"
"4.1.1.96","Carboxynorspermidine decarboxylase"
"4.1.1.97","2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase"
